"source","name","source_kind","intake_class","lane","distinct_value","animill_port","consumer","offline_contract","provenance_rights","proof","status","terminal_reason"
"https://github.com/SB2020/icm-architect","icm-architect","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/indexView","indexView","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/Infosint","Infosint","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/insightface","insightface","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/last30days-skill","last30days-skill","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/Local-AI-Image-Generator","Local-AI-Image-Generator","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/MaixPy","MaixPy","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/makemore","makemore","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/mapcn","mapcn","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/marketing","marketing","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/Master-OSINT-Toolkit-","Master-OSINT-Toolkit-","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/mastodon","mastodon","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/MoneyPrinterTurbo-Extended","MoneyPrinterTurbo-Extended","repository","functional-nerve","generate","Script/search-term generation; semantic media selection; TTS; word-timed subtitles; short-video assembly","MoneyPrinter artifact adapter into ANIMILL.compose canonical scenes","Pinned research; editable scene/timeline; provenance-linked media; audio/render/publish adapters","Artifact conversion is offline; full upstream runtime depends on Python media/ML packages and selected network or local providers","MIT; upstream repository commit c6ba9d31818a73501aadab899029c24a5b592e57; provider and stock-media rights remain separate","Fresh script.json-shaped input plus pinned ANIMILL context became editable timed scenes in the live intake UI; subtitle/media adapter tests; full ANIMILL suite 25/25 and focused UI proof pass","connected","Fresh execution of the upstream TTS/semantic-video task remains before terminal clearance; heavyweight CUDA/ML installation was not justified for the adapter proof"
"https://github.com/SB2020/MultiPost-Extension","MultiPost-Extension","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/munia","munia","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/N8N-ViralFlow","N8N-ViralFlow","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/n8n-workflows","n8n-workflows","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/NAIJA-OSINT-SOCIAL-SEARCH","NAIJA-OSINT-SOCIAL-SEARCH","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/netflix-clone","netflix-clone","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/netops","netops","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/nodriver","nodriver","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/omniroute","omniroute","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/open-design","open-design","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/open-notebook","open-notebook","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/OpenCut","OpenCut","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/opendataloader-pdf","opendataloader-pdf","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/openhuman","openhuman","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/OpenNews","OpenNews","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/opennews-mcp","opennews-mcp","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/osiris","osiris","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/owlstack-laravel","owlstack-laravel","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/Pake","Pake","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/pixovid","pixovid","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/pliny","pliny","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/polygres-sdk","polygres-sdk","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/psychopy","psychopy","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/quant-mind","quant-mind","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/randomfun","randomfun","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/remotion","remotion","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/riffusion-app-hobby","riffusion-app-hobby","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/rob311","rob311","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/scriptsbots","scriptsbots","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/social_attacker","social_attacker","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/social-media-kit","social-media-kit","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/social-media-skills","social-media-skills","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/SocialDev-Firebase","SocialDev-Firebase","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/SocialRecon","SocialRecon","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/STALK.EXE","STALK.EXE","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/suno-ai-downloader","suno-ai-downloader","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/suno-api","suno-api","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/suno-field-guide","suno-field-guide","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/suno-lab","suno-lab","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/suno-v55-prompt-guide","suno-v55-prompt-guide","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/supervision","supervision","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/swarm","swarm","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/TalkingHead","TalkingHead","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/TikTok-OSINT","TikTok-OSINT","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/tiktoka-studio-uploader","tiktoka-studio-uploader","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/tolaria","tolaria","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/tsuki-go","tsuki-go","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/undetectable-fingerprint-browser","undetectable-fingerprint-browser","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/USB-Uncensored-LLM","USB-Uncensored-LLM","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/Veo-3-Prompting-Guide","Veo-3-Prompting-Guide","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/vibethinker","vibethinker","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/VibeVoice","VibeVoice","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/ViMax","ViMax","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/visual-explainer","visual-explainer","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/voicebox","voicebox","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/weatherlayers-gl","weatherlayers-gl","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/youtube_clone_flutter","youtube_clone_flutter","repository","unclassified","unassigned","","","","","","","queued",""
"https://lemonslice.com/?ref=bob","lemonslice.com","external-reference","unclassified","unassigned","","","","","","","queued",""
"https://www.youtube.com/watch?v=aUcDyeZgz_k","www.youtube.com","external-reference","unclassified","unassigned","","","","","","","queued",""
